n_step,n_eval,f_best,f_avg,f_std,test_f1_best,test_top1_best
0,1,0.753981357464121,0.753981357464121,0.0,0.7477022964764168,0.7468888888888889
1,100,0.753981357464121,0.297161814254521,0.2753802381813908,0.7477022964764168,0.7468888888888889
2,200,0.753981357464121,0.3962686855739992,0.2700759910943361,0.7477022964764168,0.7468888888888889
5,500,0.7637894634903991,0.5352980500240859,0.257123164155061,0.7408176781740131,0.7402222222222222
10,1000,0.7637894634903991,0.5422982174159146,0.248350661448586,0.7408176781740131,0.7402222222222222
20,2000,0.7637894634903991,0.5426450919826302,0.2469852957642792,0.7408176781740131,0.7402222222222222
50,5000,0.7637894634903991,0.5426465562418993,0.2469838345554584,0.7408176781740131,0.7402222222222222
100,10000,0.7637894634903991,0.5426465562418993,0.2469838345554584,0.7408176781740131,0.7402222222222222
200,20000,0.7637894634903991,0.5426465562418993,0.24698383455545844,0.7408176781740131,0.7402222222222222
