n_step,n_eval,f_best,f_avg,f_std,test_f1_best,test_top1_best
0,1,0.756175652707622,0.756175652707622,0.0,0.7474623853195886,0.7467777777777778
1,100,0.756175652707622,0.3277234545514709,0.2756219214729707,0.7474623853195886,0.7467777777777778
2,200,0.756175652707622,0.4702206821444084,0.2609526974743213,0.7474623853195886,0.7467777777777778
5,500,0.756175652707622,0.6000001661002944,0.2198681584496548,0.7474623853195886,0.7467777777777778
10,1000,0.756175652707622,0.602179719575478,0.2142600921949483,0.7474623853195886,0.7467777777777778
20,2000,0.756175652707622,0.6018479873862167,0.2141738499999085,0.7474623853195886,0.7467777777777778
